A.3.1. Ornamental or building stone,,,,,,,,,"252,000 ","273,000 ","252,000 ","230,688 ","192,240 ","203,454 ","190,638 ","190,638 ","176,220 ","179,744 ","192,240 ","188,716 ","298,292 ","182,468 ","190,638 ","200,731 ","209,061 ","190,638 ","169,011 ","214,668 ","192,881 ","219,955 ","194,002 ","177,902 ","169,892 ","137,665 ","130,589 ","131,044 ","136,092 ","133,286 ","133,286 ","129,762 ","129,762 ","129,762 ","129,922 ","130,082 ","130,082 ","130,243 ","130,243 ","122,072 ","122,072 ","113,742 "
"A.3.2. Limestone, gypsum, chalk, and dolomite",,,,,,,,,"84,000 ","86,400 ","108,000 ","142,800 ","129,600 ","132,000 ","134,400 ","138,000 ","147,600 ","122,400 ","103,200 ","129,600 ","156,000 ","162,000 ","184,800 ","196,800 ","172,800 ","166,800 ","159,600 ","152,400 ","157,200 ","138,000 ","153,600 ","144,000 ","136,800 ","140,400 ","138,000 ","152,400 ","160,800 ","139,200 ","136,800 ","127,200 ","120,000 ","104,400 ","97,200 ","98,400 ","109,200 ","121,200 ","141,600 ","153,600 ","160,800 ","153,600 "
A.3.3. Slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.3.4. Gravel and sand,,,"378,000 ","504,000 ","769,000 ","796,000 ","850,000 ","912,000 ","975,000 ","1,040,000 ","885,000 ","729,000 ","897,000 ","1,134,000 ","1,483,000 ","1,511,000 ","1,822,000 ","1,296,000 ","1,355,000 ","1,213,000 ","1,172,000 ","1,214,000 ","1,120,000 ","1,185,000 ","980,000 ","1,045,000 ","1,120,000 ","1,185,000 ","1,229,000 ","1,252,000 ","1,072,000 ","1,178,000 ","1,082,000 ","1,060,000 ","1,029,000 ","1,007,000 ","1,034,000 ","1,117,000 ","1,107,000 ","1,426,000 ","1,396,000 ","1,538,000 ","1,536,000 ","1,195,000 ","1,115,000 ","1,380,000 ","1,744,000 ","1,807,000 ","1,800,000 ","1,800,000 "
A.3.5. Clays and kaolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.3.6. Chemical and fertilizer minerals ,,,,,,,,,"23,900 ","24,336 ","24,850 ","22,621 ","24,230 ","27,500 ","30,000 ","35,270 ","25,184 ","29,866 ","36,088 ","28,000 ","28,000 ","28,000 ","28,000 ","28,000 ","28,000 ","28,000 ","30,128 ","31,920 ","36,156 ","35,248 ","37,928 ","33,160 ","35,680 ","34,840 ","34,800 ","35,864 ","35,200 ","29,600 ","29,600 ","23,600 ","26,000 ","26,000 ","13,200 ",,,,,,,
A.3.7. Salt,,,,,,,,,,,,,,,,,,,,,,53 ,50 ,100 ,500 ,950 ,"1,350 ",704 ,"1,830 ","2,000 ","2,500 ","2,500 ","3,000 ","4,210 ","4,500 ","4,500 ","4,000 ","4,000 ","4,000 ","4,000 ","4,000 ","4,000 ","4,500 ","4,500 ","4,500 ","4,600 ","4,600 ","4,500 ","4,500 ","4,500 "
A.3.8. Other mining and quarrying products n.e.c.,,,,,,,,,,,"7,600 ","24,239 ","43,400 ","36,917 ","41,279 ","31,079 ","23,896 ","24,312 ","28,671 ","28,602 ","45,850 ","54,335 ","79,883 ","64,323 ","91,120 ","102,487 ","111,518 ","98,886 ","105,128 ","119,237 ","107,923 ","79,357 ","79,889 ","72,062 ","80,000 ","67,855 ","75,194 ","67,600 ","146,186 ","139,793 ","145,567 ","175,340 ","119,685 ","102,472 ","97,706 ","90,332 ","128,690 ","111,663 ","142,446 ","114,000 "
"A.3.9. Excavated soil, only if used (e.g. for construction work)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.4. Fossil energy carriers,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A.4.1. Brown coal incl. oil shale and tar sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.4.2. Hard coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.4.3. Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.4.4. Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.4.5. Peat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.1. Biomass and biomass products,,,," 120,797 "," 129,086 "," 130,130 "," 134,032 "," 136,146 "," 154,464 "," 146,485 "," 133,900 "," 164,627 "," 158,064 "," 167,434 "," 189,518 "," 186,433 "," 156,620 "," 180,894 "," 192,567 "," 199,259 "," 211,984 "," 205,482 "," 203,441 "," 214,771 "," 210,915 "," 208,514 "," 200,699 "," 193,131 "," 218,052 "," 219,205 "," 237,384 "," 227,729 "," 223,100 "," 211,307 "," 215,226 "," 213,187 "," 233,275 "," 234,966 "," 282,802 "," 480,191 "," 382,723 "," 421,878 "," 426,084 "," 427,051 "," 516,394 "," 509,811 "," 539,368 "," 481,988 "," 501,202 "," 449,730 "
